sks434a	40		100	0.8	0.3	14394.0	0.115
sks435a	40		100	0.8	0.3	12782.0	0.122
sks436a	40		100	0.8	0.3	10013.0	0.114
sks437a	40		100	0.8	0.3	10921.0	0.114
sks438a	40		100	0.8	0.3	6706.0	0.112
sks442a	40		100	0.8	0.3	14523.0	0.11
sks443a	40		100	0.8	0.3	15518.0	0.112
sks444a	40		100	0.8	0.3	10147.0	0.111
sks445a	40		100	0.8	0.3	13693.0	0.108
sks446a	40		100	0.8	0.3	7502.0	0.112
sks447a	40		100	0.8	0.3	8814.0	0.111
sks448a	40		100	0.8	0.3	7625.0	0.11
sks452a	40		100	0.8	0.3	12496.0	0.109
sks453a	40		100	0.8	0.3	13461.0	0.111
sks454a	40		100	0.8	0.3	9469.0	0.112
sks455a	40		100	0.8	0.3	7805.0	0.143
sks456a	40		100	0.8	0.3	7194.0	0.141
sks457a	40		100	0.8	0.3	3878.0	0.136
sks458a	40		100	0.8	0.3	5946.0	0.136
sks462a	40		100	0.8	0.3	13262.0	0.121
sks463a	40		100	0.8	0.3	10935.0	0.114
sks464a	40		100	0.8	0.3	11876.0	0.115
sks465a	40		100	0.8	0.3	10462.0	0.117
sks466a	40		100	0.8	0.3	9283.0	0.116
sks467a	40		100	0.8	0.3	7020.0	0.113
sks468a	40		100	0.8	0.3	4676.0	0.11
sks472a	40		100	0.8	0.3	15996.0	0.111
sks473a	40		100	0.8	0.3	15588.0	0.11
sks474a	40		100	0.8	0.3	12575.0	0.111
sks475a	40		100	0.8	0.3	14983.0	0.112
sks476a	40		100	0.8	0.3	12548.0	0.112
sks477a	40		100	0.8	0.3	11571.0	0.11
sks478a	40		100	0.8	0.3	12631.0	0.112
sks482a	40		100	0.8	0.3	20145.0	0.119
sks483a	40		100	0.8	0.3	19589.0	0.112
sks484a	40		100	0.8	0.3	15479.0	0.114
sks485a	40		100	0.8	0.3	16163.0	0.114
sks486a	40		100	0.8	0.3	10542.0	0.11
sks487a	40		100	0.8	0.3	12988.0	0.111
sks488a	40		100	0.8	0.3	17853.0	0.112
sks522a	50		100	0.8	0.3	29911.0	0.13
sks523a	50		100	0.8	0.3	30681.0	0.135
sks524a	50		100	0.8	0.3	27403.0	0.132
sks525a	50		100	0.8	0.3	26077.0	0.13
sks526a	50		100	0.8	0.3	15797.0	0.133
sks527a	50		100	0.8	0.3	16159.0	0.13
sks528a	50		100	0.8	0.3	11443.0	0.128
sks532a	50		100	0.8	0.3	29264.0	0.133
sks533a	50		100	0.8	0.3	21775.0	0.134
sks534a	50		100	0.8	0.3	20842.0	0.131
sks535a	50		100	0.8	0.3	21454.0	0.13
sks536a	50		100	0.8	0.3	14266.0	0.129
